agent,seed,episodes,risk_scale,kappa,lambda,mix,pgf_neto,tripwires,robustez,flexibilidad,reward_total,filename
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.3460246181657688,1.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.7267000277497009,1.0,,,-35.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.1522701638335727,0.0,,,-10.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.2284052457503591,0.0,,,-15.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,0.0,0.0,,,0.0,sweep_default_seed123_risk0.5_control.csv
control,123,,0.5,,,,-0.0761350819167863,0.0,,,-5.0,sweep_default_seed123_risk0.5_control.csv
